,Name,Studio,Episodes,Genres,Source,Type,Score,Members,Season,Year
30,Ultraman: Chou Toushi Gekiden - Suisei Senjin Tsuifon Toujou,-,1,"[Action, Sci-Fi, Space, Super Power, Shounen]",Other,OVA,6.88513427562,180,Summer,1996
31,Eiyuu Banka Koushi-den,-,1,"[Adventure, Drama, Historical, Romance]",-,OVA,6.88513427562,126,Summer,1996
32,Shinran Shounin to Ousha-jou no Higeki,-,1,"[Drama, Historical]",Other,OVA,6.88513427562,25,Summer,1996
33,X/1999,Madhouse,1,"[Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural]",Manga,Movie,6.68,"24,001",Summer,1996
34,Slayers Return,J.C.Staff,1,"[Adventure, Comedy, Fantasy, Magic, Shounen]",Light novel,Movie,7.41,"13,468",Summer,1996
35,Jigoku Sensei Nube (Movie),Toei Animation,1,"[Adventure, Comedy, Horror, School, Shounen, Supernatural]",-,Movie,6.8,"1,227",Summer,1996
36,Alps no Shoujo Heidi: Alm no Yama-hen,Nippon Animation,1,"[Slice of Life, Historical, Drama]",-,Movie,6.62,776,Summer,1996
37,Alps no Shoujo Heidi: Heidi to Clara-hen,Nippon Animation,1,"[Slice of Life, Historical, Drama]",-,Movie,6.67,771,Summer,1996
38,Gegege no Kitarou: Daikaijuu,Toei Animation,1,"[Action, Fantasy, Horror, Shounen, Supernatural]",-,Movie,6.4,342,Summer,1996
39,Angel ga Tonda Hi,-,1,"[Slice of Life, Comedy]",-,Movie,6.88513427562,96,Summer,1996
40,Futari no Oujisama,Toei Animation,1,"[Fantasy, Slice of Life]",-,Movie,6.88513427562,95,Summer,1996
41,Maya no Isshou,-,1,"[Historical, Slice of Life, Drama]",-,Movie,6.88513427562,88,Summer,1996
42,Lupin III: Twilight Gemini no Himitsu,-,1,"[Action, Adventure, Comedy, Shounen]",-,Special,7.16,"3,733",Summer,1996
43,Fushigi Yuugi Special: Nakago Shikkari Shinasai!,Studio Pierrot,2,[Comedy],Manga,Special,7.24,"1,134",Summer,1996
44,Yawara! Special: Zutto Kimi no Koto ga... .,Madhouse,1,"[Action, Comedy, Drama, Martial Arts, Slice of Life, Sports]",Manga,Special,7.44,967,Summer,1996
45,Urusei Yatsura,"Studio Deen, Studio Pierrot",195,"[Action, Sci-Fi, Adventure, Comedy, Drama, Romance]",Manga,TV,7.78,"26,621",Fall,1981
46,Dash! Kappei,Tatsunoko Production,65,"[Ecchi, Sports, Comedy, Shounen]",-,TV,7.3,"2,795",Fall,1981
47,Uchuu Densetsu Ulysses 31,TMS Entertainment,26,"[Action, Adventure, Sci-Fi, Space]",Original,TV,7.18,"2,482",Fall,1981
48,Ninja Hattori-kun,Shin-Ei Animation,694,"[Comedy, Martial Arts, Slice of Life]",-,TV,6.89,"2,405",Fall,1981
49,Taiyou no Kiba Dagram,Sunrise,75,"[Mecha, Military, Drama, Sci-Fi, Shounen]",-,TV,7.53,"2,048",Fall,1981
50,Wanwan Sanjuushi,Nippon Animation,26,"[Adventure, Historical]",-,TV,6.78,"1,380",Fall,1981
51,Maicching Machiko-sensei,Studio Pierrot,95,"[Comedy, Ecchi, School]",Manga,TV,6.63,"1,042",Fall,1981
52,Rokushin Gattai GodMars,Tokyo Movie Shinsha,64,"[Action, Mecha, Sci-Fi, Space]",-,TV,6.48,"1,014",Fall,1981
53,Ginga Senpuu Braiger,Toei Animation,39,"[Action, Sci-Fi, Adventure, Space, Mecha]",Original,TV,7.0,982,Fall,1981
54,Honey Honey no Suteki na Bouken,-,29,"[Adventure, Historical, Shoujo]",Manga,TV,6.68,439,Fall,1981
55,Jarinko Chie (TV),-,64,"[Slice of Life, Comedy, Drama]",Manga,TV,6.88513427562,355,Fall,1981
56,Shin Dokonjougaeru,-,30,"[Slice of Life, Comedy, Shounen]",Manga,TV,6.88513427562,95,Fall,1981
57,Uchuu Senshi Baldios (Movie),-,1,"[Action, Sci-Fi, Space, Mecha]",-,Movie,6.61,501,Fall,1981
58,Rennyo to Sono Haha,-,1,[Historical],-,Movie,6.88513427562,150,Fall,1981
59,Manga Hana no Kakarichou,-,1,"[Comedy, Seinen, Slice of Life]",-,Movie,6.88513427562,69,Fall,1981
60,Manzai Taikouki,-,1,"[Comedy, Historical, Seinen]",-,Movie,6.88513427562,67,Fall,1981
61,Space Cobra Pilot,-,1,"[Action, Adventure, Space, Sci-Fi]",-,Special,6.69,962,Fall,1981
